tr	ota
münadimin	منادمين
ahkam	احكام
lahzada	لحظه ده
ageste	آگسته
sura	صرعه
kaniz	كانز
seyhan	سيحان
kunefhar	قنفخر
menub	مأنوب
asiye	آسيه
gubar	غبار
müzikçilik	موزيكجيلك
kaşağılamak	قشاغيلامق
reşk-saz	رشكساز
kasılmak	قاصيلمق
muran	موران
zırıltı	زيريلتي
midrar	مدرار
azalmak	آزالمق
kallavi	قلاوي
ulaşılmak	اولاشيلمق
yapadurmak	ياپا طورمق
ağda	آغده
mustashib	مستصحب
lagün	لاگون
akşam	آقشام
boğaz	بوغاز
ünsaç	أوڭ صاج
şakar	شاقار
kıvanç	قيوانچ
şahinbey	شاهين بگ
camustel	جاموستل
zimzim	زمزم
lühkuk	لحقوق
bilgilendirme	بيلگيلنديرمه
sayımlamak	صاييملامق
aritmetik işlem	آريتمه تيك ايشلم
konma	قونمه 
mutlanma	موتلانمه 
orgünalp	اورگون آلپ
ebna-yı beşer	ابناي بشر
boğuşmak	بوغوشمق
artezyen	آرتزين
muid	معيد
meftunane	مفتونانه
hadis-i kudsi	حديث قدسي
jiujitsu	ژيئوژيتسو
basit cisim	بسيط جسم
hoşkalem	خوش قلم
neden	نه دن
ya rabbi	يا ربّي
hissedilmek	حس ايديلمك
ruşen-gir	روشنگير
zud-hiz	زودخيز
küsv	كثو
imtina	امتناع
tesalüf	تسالف
neşve-mend	نشوه مند
ehass	اخص
reybi	ريبي
kanırtmak	قاڭيرتمق
hadi	خادع
iş birliği	ايش برلگي
arzulama	آرزولامه 
istihsalat	استحصالات
nehaket	نهاكت
takılmak	طاقيلمق
dil öğrenimi	ديل أوگرنيمي
erkekli kadınlı	ارككلي قادينلي
afişçi	آفيشجي
karbonlama	قاربونلامه 
tasvibat	تصويبات
cumhurbaşkanlığı	جمهور باشقانلغي
yükletilme	يوكلتيلمه
arayıcı fişeği	آراييجي فشنكي
hürrem	خرم
niyetsiz	نيتسز
kirpas	كرپاس
esirgeme	اسيرگه مه
yasalaşmak	ياسالاشمق
görünürde	گورونورده
iletme	ايلتمه
celasun	جلاسون
celevat	جلوات
simetrik	سيمتريك
dürr-dane	دردانه
amcazade	عمجه زاده
kas	قصع
hakv	حقو
top kandil	طوپ قنديل
cübbeli	جبه لي
fıtr	فطر
islavistik	ايسلاويستيك
şoförlük	شوفورلك
canbey	جان بگ
istimaha	استماحه
neşretmek	نشر ايتمك
haksızlık	حقسزلق
beytuen	بيتوئن
kekelik	ككه لك
humuzet	حموضت
dördüncü	دردنجي
inilme	اينيلمه
çocuk bahçesi	چوجق باغچه سي
bedadan	بدادان
idare etmek	اداره ايتمك
tehalüf	تخالف
pehlivanlık	پهلوانلق
gidilmek	گيديلمك
bağlamacı	باغلامه جي
urve	عروه
sancıma	صانجيمه 
müstacel	مستعجل
kilogramkuvvet	كيلوغرام قوت
kıvrımlanma	قيوريملانمه 
tebbet suresi	تبت سوره سي
züyul	ذيول
düvuk	دووق
sellemehüsselam	سلمه السلام
serçegiller	سرچه گيللر
rölans	رولانس
dall bil-fehva	دال بالفحوا 
muhdec	مخدج
batn	بطن
insa	انسا
vehhabi	وهابي
ramazan topu	رمضان طوپي
mahıciyy	ماخجي
samahmah	صمحمح
benatül-arz	بنات الارض
zamaim	ضمائم
veznedar	وزنه دار
meraklandırmak	مراقلانديرمق
saykut	صايقوت
kefek	كفك
islah	اصلاح
hurra	خورره
lakıs	لاقس
ipliklenme	ايپلكلنمه
har-meniş	خرمنش
yılkıcı	ييلقيجي
kezma	كزما
istitale	استطاله
adem-abad	عدم آباد
ardışıklık	آرديشيقلق
mutaffifin suresi	مطففين سوره سي
lisat	لثات
itisas	اعتساس
mutavassıtül-kame	متوسط القامه
fekahet	فكاهت
mahsup	محسوب
ihracatçı	اخراجاتجي
kundaklanma	قونداقلانمه 
hert	هرت
farmakolog	فارماقولوغ
sikek	سكك
bakırlaşmak	باقيرلاشمق
efvac	افواج
aziyy	آذي
akbatu	آق باطو
mahkumun bih	محكومٌ به
mütekaddimin	متقدمين
muakkab	معقب
ibadullah	عباد اللّٰه
biçarelik	بيچاره لك
mevdud	مودود
toplumlaşma	طوپلوملاشمه 
kasmak	قاصمق
mahmuz	ماهموز
ahger	اخگر
sabib	صبيب
berzah	برزخ
tahattur etmek	تخطر ايتمك
türrehe	ترهه
afra	عفرا
kirpik-i akıl	كيرپيك عقل
terfih etmek	ترفيه ايتمك
efike	افيكه
müzeyyifane	مزيفانه
naf-ı şeb	ناف شب
akamber	آق عنبر
cümade	جماده
ab-ı hayat	آب حياتf
darbhane	ضربخانه
atide	عتيده
begum	بگوم
taşlık	طاشلق
necabet	نجابت
çiğ renkçilik	چيگ رنكجيلك
mağmas	مغمص
nehar	نهار
heder	هدر
uzaklaşılma	اوزاقلاشيلمه 
salıncak	صالينجاق
nev-hiz	نوخيز
posho	پوسخو
enum	انعم
petriç	پتريج
temeshur	تمسخر
mütehazzir	متحذر
arlanma	عارلانمه 
şürur	شرور
dingin	ديڭگين
fasık-ı mahrum	فاسق محروم
abdülkahir cürcani	عبد القاهر جرجاني 
maadin	معادن
yağınalp	ياغين آلپ
plan	پلان
bişkufe	بشكوفه
arsızlanmak	عارسزلانمق
temerküz	تمركز
tokurdama	طوقوردامه 
şule-dar	شعله دار
hidfe	هدفه
tasrifat	تصريفات
mumlama	موملامه 
turfe	ترفه
kask	قاسق
cehennemlik	جهنملك
baki	باقي
kummehan	قمحان
dindar	ديندار
licac	لجاج
libas-ı takva	لباس تقوا 
mümeyyiz	مميز
yüksük	يوكسوك
nüşka	نشقه
birkaç	برقاچ
hasseten	خاصةً
liberasyon	ليبه راسيون
ilhamat	الهامات
inisiyatif	اينيسيياتيف
dik alası	ديك اعلاسي
çeltik tarlası	چلتيك تارله سي
irtisas	ارتساس
mezahir	مظاهر
aklet	عكلط
pötürge	پتورگه
kadran	قادران
lok	لوق
sigaralık	سيغاره لق
aligüher	علي گهر
güzel olmak	گوزل اولمق
şehav	شحو
yaban asması	يبان آصمه سي
hilafiyat	خلافيات
fıstıkçılık	فستقجيلق
icabe	اجابه
mütebağğız	متبغض
nev-resid	نورسيد
dolay	طولاي
muğaylan-gah	مغيلانگاه
buzullaşmak	بوزوللاشمق
şüdun	شدون
gölgeleyiş	گولگه له ييش
esbab-ı müşeddide	اسباب مشدده
dehüm	دهم
isnat	اسناد
istihale	استحاله
madarib	مضارب
doğrusal	طوغريسال
telek	تلك
kımlanma	قيملانمه 
nazlılık	نازليلق
gerdun	گردون
retec	رتج
dehşet-engiz	دهشت انگيز
boğazlaşma	بوغازلاشمه 
müsvedde defteri	مسوده دفتري
nas suresi	ناس سوره سي
esneklik	اسنكلك
sakil	صقيل
münasebat	مناسبات
ibtidaiyat	ابتدائيات
deşt-i kıpçak	دشت قيپچاق
aliağa	علي آغا
vekm	وكم
ütületmek	أوتولتمك
himyer	حمير
lebh	لبخ
sebaik	سبائك
kelk	كلك
bilgün	بيلگون
rig	ريگ
şefşefe	شفشفه
evrenselleştirme	اورنسللشديرمه
hatife	خطيفه
temellus	تملص
ıdad	عضاض
bunaltıcı	بوڭالتيجي
lambalamak	لامبه لامق
ruy-i derya	روي دريا
ecdel	اجدل
kıstırma	قيصديرمه 
dübsiyy	دبسي
memalik-i mahruse-i şahane	ممالك محروسۀ شاهانه
atık	عاتق
madensel	معدنسل
bitümleme	بيتومله مه
semer	سمر
bal başı	بال باشي
sevda-feza	سودا فزا
çöğmek	چوگمك
büsuta	بسوطه
emr-i küfri	امر كفري
esenleşme	اسنلشمه
ervahi	ارواحي
hallalül-ukad	حلال العقد
mütemehhid	متمهد
mutlu olmak	موتلو اولمق
loppadak	لوپپاداق
ara	آرا
müstemin	مستأمن
tını	طيني
cibarat	جبارات
asillik	اصيللك
kürkçülük	كوركجيلك
boncukçu	بونجوقجي
söğüt	سوگوت
sim ü zer	سيم و زر
üçleşmek	أوچلشمك
kurcalayış	قورجه لاييش
yer bilimsel	ير بيليمسل
mütehavvif	متخوف
ihtibas-ı bevl	احتباس بول
particilik	پارتيجيلك
sosyal gelişme	صوسيال گليشمه
mezbele	مزبله
fırlatılma	فيرلاتيلمه 
toplumsal yardım	طوپلومسال يارديم
çalımlama	چاليملامه 
hecenna	هجنع
mekfufül-ayn	مكفوف العين
hasıl-ı darb	حاصل ضرب
kokulu	قوقولي
teratir	تراتير
dera	درا
ceşer	جشر
kayırılmak	قاييريلمق
çüst	چست
cevz	جوظ
ümm-i seleme	ام سلمه 
gafi	غفي
benek	بنك
kovuşturmak	قوغوشديرمق
mucip sebep	موجب سبب
muğalatat	مغالطات
ayırıcı	آييريجي
tıkışmak	طيقيشمق
veled-i hadis	ولد حادث
lateşbih	لاتشبيه
azap	آزاپ
biraste	بيراسته
eşek marulu	اشك مارولي
fırsatçılık	فرصتجيلق
ümmüd-dem	ام الدم
çar u yek	چار و يك
hürsel	حر سيل
laht-ı ciğer	لخت جگر
muanan	معنعن
kıtalar arası	قطعه لر آراسي
merdega	مردغه
bireyleştirme	بيريلشديرمه
abdülali	عبد العالي
gavvas	غواص
ifsadat	افسادات
hasse-i lems	حاسۀ لمس
sanihat	سانحات
kaffe-i efrad	كافۀ افراد
kozalak	قوزالاق
partileşme	پارتيلشمه
geveşt-neva	گوشت نوا
muhazat	محاذات
la edri	لا أدري
sanat evi	صنعت أوي
fikir adamı	فكر آدمي
matiye	مطيه
ön bilim	أوڭ بيليم
başkumandanlık	باش قوماندانلق
horlayış	خورلاييش
insıbab	انصباب
mevzi	موضع
münciye	منجيه
accac	عجاج
yaşam düzeyi	ياشام دوزيي
cibah	جباه
yağı	ياغي
ecsam-ı namiye	اجسام ناميه
maak	معاك
dak	دعك
ruhasa	رخصا
kederlendirmek	كدرلنديرمك
doğru yol	طوغري يول
siniş	سيڭيش
sitare-i rahşan	ستارۀ رخشان
sürat-i intikal	سرعت انتقال
delta kanat	دلطه قنات
tasannuf	تصنف
apoşi	آپوشي
münsedil	منسدل
bevliye	بوليه
zekun	ذقون
ilave	علاوه
hami	خامي
heyce-mane	هيجمانه
incelmek	اينجلمك
esfar-ı baide	اسفار بعيده
fitnat	فطنت
masani	مصانع
gerginlik	گرگينلك
menadif	منادف
bilezik	بيله زيك
musabbağ	مصبغ
mükayese	مكايسه
yoğurt çorbası	يوغورت چوربه سي
piyade	پياده
dermansızlaşmak	درمانسزلاشمق
esasen	اساسًا
cemerat	جمرات
eklenti	اكلنتي
müstahikkin	مستحقين
ukubet	عقوبت
elem	الم
mürşid	مرشد
sebele	سبله
dizmek	ديزمك
gezegen	گزه گن
vatanseverlik	وطن سورلك
müşvike	مشوكه
ağırşak	آغيرشاق
cebceb	جبجب
mübakere	مباكره
sükker	سكر
iptila	ابتلا
konfor	قونفور
bozulma	بوزولمه 
çevrim	چوريم
yardak	يارداق
teşahh	تشاح
karagöz	قره گوز
malik	مالك
güvem	گوگم
sevad-ı hatt	سواد خط
diger-kam	ديگر كام
herv	هرو
hebz	هبذ
granitleşme	غرانيتلشمه
mütelehhi	متلهي
akçaağaçgiller	آقچه آغاچگيللر
kıpkırmızı olmak	قيپ قرمزي اولمق
nısıf kutur	نصف قطر
duhter	دختر
kabarmak	قبارمق
gazab-ı ilahi	غضب الهي
rahmaniye	رحمانيه
iştah	اشتها
borçsuz	بورچسز
kesenek	كسه نك
hady	خدي
bidh	بدح
taannüt	تعند
murakkak	مرقق
erneb	ارنب
altunhan	آلتونخان
iğlinta	اغلنتا
meşhud	مشهود
hazırlıklı	حاضرلقلي
hamur-kar	خموركار
şecr	شجر
cehr	جهر
küp	كوپ
kurutuş	قوروتوش
be-ca	بجا
aksün-nakiz	عكس النقيض
maül-bahr	ماء البحر
torpilli	تورپيللي
abani	آباني
sonuçlandırmak	صوڭوچلانديرمق
elverişsiz	الويريشسز
kablel-büluğ	قبل البلوغ
yavaşlatılmış	ياواشلاتيلمش
bektaşi sırrı	بكتاشي سري
ısınma	ايصينمه 
duyurulmak	دويورولمق
mızmızlık	ميزميزلق
maye-ırak	مايه عراق
göbekli	گوبكلي
cud	جود
alçılı	آلچيلي
icma-ı ümmet	اجماع امت
fazılat	فاضلات
cevdet-i fehm	جودت فهم
kaldırma	قالديرمه 
dokunma	طوقونمه 
fazail	فضائل
yükçü	يوكجي
ebatil	اباطيل
kaze	كاذه
nazar-rüba	نظرربا
çekememek	چكه ممك
kel-adem	كالعدم
şıpın işi	شيپين ايشي
hehca	ههجاع
paradigma	پاراديگمه
numaralama	نومره لامه 
mevid-i mülakat	موعد ملاقات
ortaklaşma	اورتاقلاشمه 
melah	ملخ
afik	عفيك
akan yıldız	آقان ييلديز
yesar	يسار
sürümek	سورومك
marley	مارلي
sadrazam	صدر اعظم
yaratma	ياراتمه 
sazlık	سازلق
tebtil	تبتيل
mirrih	مريخ
cılklaşma	جيلقلاشمه 
tercan	ترجان
sokuşmak	صوقوشمق
ödenme	أودنمه
dan	دان
hahamlık	خاخاملق
busra	بصرا
gözemek	گوزه مك
bakiye-i asar	بقيۀ آثار
füshat-seray	فسحت سراي
paslaşmak	پاسلاشمق
muhayyer-sünbüle	مخير سنبله
mutazarrı	متضرع
icram	اجرام
tip	تيپ
ta-yı gird	تاي گرد
ezberleme	ازبرله مه
erga	ارغا
reml	رمل
ceman	جمعًا
selg	ثلغ
çocukluk etmek	چوجقلق ايتمك
nişib	نشيب
istinsah etmek	استنساخ ايتمك
muğarrid	مغرد
cadılaşma	جاديلاشمه 
örtünme	أورتونمه
selenyum	سلنيوم
haykatan	حيقطان
müstehiff	مستخف
maye	مايه
tedvinat	تدوينات
defaten	دفعةً
iyonlanmak	اييونلانمق
gölhisar-ı hamid	گول حصار حميد
mislak	مسلاق
tane	دانه
huruf-ı cerre	حروف جره
halaoğlu	خاله اوغلي
mütegallibane	متغلبانه
çark-ı felek	چرخ فلك
teczim	تجذيم
münşerih	منشرح
ilmiyat	علميات
beyhaki	بيهقي 
sıkboğaz etmek	صيق بوغاز ايتمك
özkutsal	أوز قوتسال
sarari	صراري
hisar-evic	حصار اوج
çürümek	چورومك
koşuşma	قوشوشمه 
ihtilas-kar	اختلاسكار
müessis	مؤسس
kayacan	قياجان
advan	عدوان
kain	كائن
demren	دمرن
solunum sistemi	صولونوم سيستمي
hititolog	هيتيتولوغ
difterili	ديفتريلي
beyoğlu	بگ اوغلي
asar	آصار
kocakarı	قوجه قاري
şurrah	شراح
zaki	ذاكي
beklenilmek	بكله نيلمك
uzza	عزا 
bad-ı hazan	باد خزان
kulak kepçesi	قولاق كپچه سي
hızka	حزقه
efendice	افنديجه
tecafi	تجافي
ruhan	روخان
terakime	تراكمه
armada	آرماده
handan-ruy	خندان روي
halkalama	حلقه لامه 
şabih	شابه
gıyab	غياب
ilkin	ايلكين
meslubül-akl	مسلوب العقل
kass	قص
kutta	قطاع
metrukat	متروكات
müzminleşmek	مزمنلشمك
bulaşılmak	بولاشيلمق
zevra	زورا
şemta	شمطا
karga burun	قارغه بورون
teessüs etmek	تأسس ايتمك
dalgalı	طالغه لي
mübtegıyat	مبتغيات
tok	طوق
muhtekir	مختكر
pipet	پيپت
aceleci	عجله جي
firecik	فره جك
saye-gah	سايه گاه
pasifleştirme	پاسيفلشديرمه
etba	اتباع
yargı	يارغي
neşvan	نشوان
mantar bilimi	مانطار بيليمي
teskere	تسكره
va-hayfa	وا حيفا
risalet-penah	رسالتپناه
sosyal faaliyet	صوسيال فعاليت
şizofren	شيزوفرن
çemberletme	چنبرلتمه
simülasyon	سيمولاسيون
sancı otu	صانجي اوتي
tutu	طوطو
dabr	ضبر
yenbeul-bahr	ينبع البحر
türkoloji	توركولوژي
hazine-i hassa	خزينۀ خاصه
garipseme	غريبسه مه
kuaför	قوآفور
şeb-boy	شببوي
balahatun	بالاخاتون
lonca	لونجه
bar-ver	بارور
bölme işareti	بولمه اشارتي
didem	ديدم
ilmekleme	ايلمكله مه
teşri eylemek	تشريع ايله مك
şefaşif	شفاشف
anjin	آنژين
takrit	تقريط
ataergin	آتا ارگين
senin	سنين
ahu gözlü	آهو گوزلي
eskatalogya	اسقاتالوغيه
hursendi	خرسندي
teassi	تعصي
kıkırtı	قيقيرتي
iradat	ايرادات
edilgen fiil	ايديلگن فعل
sidre ağacı	سدره آغاجي
sübhaniye	سبحانيه
fokurdatma	فوقورداتمه 
mükebbire	مكبره
ağrı sızı	آغري صيزي
hırpani	خرپاني
şili	شيلي 
perçinleşmek	پرچينلشمك
halife-i evvel	خليفۀ اول
kalabalıkça	قالابالقجه
duman	دومان
estağfirullah	استغفر اللّٰه
viyaklamak	ويياقلامق
peren	پرن
nallanma	نعللانمه 
zihle	زخله
alın teri	آلين تري
takvim	تقويم
götürü iş	گوتوري ايش
heft-elvan	هفت الوان
yalamuk	يالاموق
mürur-ı zaman	مرور زمان
darül harb	دار الحرب
koşutlaştırma	قوشوتلاشديرمه 
küçük kumru	كوچك قومرو
müstahberat	مستخبرات
karyeteyn	قريتين
zeka geriliği	ذكا گريلگي
daire-i resmiye	دائرۀ رسميه
akve	عقوه
kuşkusuz	قوشقوسز
servis istasyonu	سرويس ايستاسيوني
yamalı bohça	يامه لي بوغچه
dış piyasa	طيش پيياسه
kutsallaştırma	قوتساللاشديرمه 
tekiner	تكين أر
kiremit	كيره ميت
çopurluk	چوپورلق
orkan	اورقان
belde-i tayyibe	بلدۀ طيبه
mütefessih	متفسخ
resmen	رسمًا
asma kilit	آصمه كليد
uzlaşmacılık	اوزلاشمه جيلق
nöbet	نوبت
tokat	توقات
temim	تأميم
denizanası	دڭز آناسي
senli benli	سنلي بنلي
susma	صوصمه 
ankeb	عنكب
nahv	نحو
irili ufaklı	ايريلي اوفاقلي
hacele	حجله
ıtnap	اطناب
habir	حبير
sükut hakkı	سكوت حقي
hased	حسد
gayıt	غايط
cizun-nahl	جذع النخل
can-geza	جانگزا
tarir	تعرير
imak-ı bir	اعماق بئر
bihin	بهين
şenayi	شنايع
düşey	دوشي
şukre	شقره
barotaksi	باروتاقسي
alçalma	آلچالمه 
tecfif	تجفيف
abede-i esnam	عبدۀ اصنام
kala-dar	قلعه دار
kançılarlık	قانچيلارلق
eli geniş	الي گڭيش
tahtakurusu	تخته قوروسي
etnoloji	اتنولوژي
doktorluk	دوقتورلق
gerdaniye-buselik	گردانيه بوسليك
memud	ممعود
ışk	عشق
tacirüs-sultani	تاجر السلطاني
geciktirme	گجيكديرمه
oğansoy	اوغان صوي
dücme	دجمه
luk	لق
icaz-kar	اعجازكار
nefeslemek	نفسله مك
esca	اسجاع
yaviçe	ياويچه
pasinler	پاسينلر
kışlatma	قيشلاتمه 
takır tukur	طاقير طوقور
ödlek	أودلك
tevekkül	توكل
bevvabin	بوابين
ciddileşmek	جديلشمك
meşayih	مشايخ
bükünlü	بوكونلي
berkende	بركنده
kasıntılı	قاصينتيلي
ürpertili	أورپرتيلي
tez canlı	تيز جانلي
zükran	ذكران
düz baskı	دوز باصقي
müştagil	مشتغل
batir	بطير
yeldirmek	يلديرمك
zafire	زافره
ifkad	افقاد
münezzil	منزل
mütenezzihat	متنزهات
mükayele	مكايله
tehadür	تهادر
ihtilaf-ı dar	اختلاف دار
müşiran	مشيران
feruka	فروقه
sene-i rumiye	سنۀ روميه
iltikam	التقام
canlı yayın	جانلي يايين
sergilenmek	سرگيلنمك
hallal	حلال
beraya	برايا
takid	تعقيد
sere serpe	سره سرپه
turfalama	طرفه لامه 
yılışmak	ييليشمق
eş değerli	اش دگرلي
refhan	رفهان
kabaklama	قباقلامه 
tarassud	ترصد
huruf-ı vasliye	حروف وصليه
mürtesim	مرتسم
tasdik etmek	تصديق ايتمك
ispari	ايسپاري
barbarizm	بارباريزم
inatlaşma	عنادلاشمه 
bitnik	بيتنيك
zımn	ضمن
sapıklaşmak	صاپيقلاشمق
imtizac-kar	امتزاجكار
izoli	ايزولي
istihda	استهدا
helile	هليله
evza	اوضاع
hidc	حدج
yuvarlak ağızlılar	يووارلاق آغيزليلر
kesp	كسب
şehvet-engiz	شهوت انگيز
mihtat	مخطاط
garaz olmak	غرض اولمق
riddet	ردت
kaidül-ceyş	قائد الجيش
peleng	پلنگ
dayak kaçkını	طاياق قاچقيني
tecalüs	تجالس
hürmet etmek	حرمت ايتمك
tibetli	تيبتلي
bukağılama	بوقاغيلامه 
haran	خواران
damga-i vahdet	طامغۀ وحدت
kapılandırmak	قاپيلانديرمق
inşaatçılık	انشاآتجيلق
alhan	علهان
buruş	بوروش
demografi	دموغرافي
sintel	ثنتل
mahmude	محموده
hal edilme	خلع ايديلمه
refik-i rah	رفيق راه
gagamsı	غاغه مسي
tadadd	تضاد
behle	بهله
fevatih	فواتح
demokratikleştirme	دموقراتيكلشديرمه
fısıltı	فيصيلتي
tahmid	تحميد
mütezevvid	متزود
muşt	مشت
melk	ملك
budatmak	بوداتمق
mağza	مغزا 
tatil köyü	تعطيل كويي
cihetül-vahdet-i ittihad	جهت الوحدت اتحاد
horozlaşma	خوروزلاشمه 
muvahat	مواخات
nasruddin	نصر الدين
değirmencilik	دگرمنجيلك
ekseriya	اكثريا
günü	گوني
tadarug	تدارغ
şaşırtmaca	شاشيرتمه جه
yüze gülücülük	يوزه گولوجيلك
kokulandırma	قوقولانديرمه 
kirpiksi	كيرپيكسي
sancımak	صانجيمق
hüsniye	حسنيه
pastırma yazı	باصديرمه يازي
mekteb-i sultani	مكتب سلطاني
faika	فائقه
mürettil	مرتل
billurlaştırmak	بلورلاشديرمق
itkan-ı sanat	اتقان صنعت
istihkamat-ı dahile	استحكامات داخله
bühhüt	بهت
sosyolengüistik	صوسيولنگوئيستيك
mühib	مهيب
kuta	قطعه
mufazala	مفاضله
yongalama	يونغه لامه 
cep saati	جيب ساعتي
beste-leb	بسته لب
reyon	ريون
püflemek	پوفله مك
beytül-mal	بيت المال
mahrum etmek	محروم ايتمك
olmazlık	اولمازلق
şahıs	شاخص
istihkar etmek	استحقار ايتمك
düsür	دثر
çadır bezi	چادير بزي
takabbüb	تقبب
latin yelkeni	لاتين يلكني
hüsniyat	حسنيات
bezv	بزو
ahlat-ı erbaa	اخلاط اربعه
deyr-i süleyman	دير سليمان
asakir-i muntazama	عساكر منتظمه
konuklama	قونوقلامه 
çiğneyiş	چيگنه ييش
alem-nüma	عالمنما
içiriş	ايچيريش
bagt	بغت
iğraz	اغراض
mazca	مضجع
iskarto	ايسقارتو
çıkıştırma	چيقيشديرمه 
gune	گونه
hatne	ختنه
aycihan	آي جهان
kilüs	كيلوس
müsteham	مستهام
salgı	صالغي
zira	زيرا
vükur	وكور
hadice	خديجه
aşub-gah	آشوبگاه
taşıyış	طاشييش
erimşah	اريمشاه
mahve	محوه
avunç	آوونچ
baççı	باججي
hapır hapır	خاپير خاپير
peşimani	پشيماني
dürüm	دوروم
gam-nak	غمناك
tahşid	تحشيد
eflatlı	افلاطلو
vasiyet bil-varis	وصيت بالوارث
yanya	ينيه
hint fulü	هند فولي
ek tahsisat	اك تخصيصات
ehyemin	اهيمين
temren	تمرن
cay-ı rahat	جاي راحت
hezazik	هذاذيك
indirgeyici	اينديرگه ييجي
bilhads	بالحدس
tetavvuan	تطوعًا
mürüvvet	مروت
tüylü meşe	تويلي ميشه
şezre-mezre	شزر مزر
zaferan	زعفران
duraklatma	طوراقلاتمه 
çille	چله
ürgüp	أورگوپ
besteleme	بسته له مه
meriç	مريج
mütegaşşim	متغشم
yamalı	يامه لي
tapınak	طاپيناق
harid	حارد
yazmacı	يازمه جي
aşama	آشامه 
maraziyyun	مرضيون
müsveddelik kağıt	مسوده لك كاغد
afi yapmak	آفي ياپمق
lenfatik	لنفاتيك
sağun	صاغون
plevra	پلوره
maden gazı	معدن غازي
hadreban	حدربان
ciret	جرأت
hemşire	همشيره
sercuc	سرجوج
akaret	عقارت
memlaha	مملحه
başkonsolosluk	باش قونسولوسلق
beraet	برائت
berz	برز
sakarlaşmak	صاقارلاشمق
kireçlik	كيرچلك
muzill	مذل
mütelatıf	متلاطف
kızılkurt	قيزيل قورت
müstecmi	مستجمع
kızıltı	قيزيلتي
sühunet	سخونت
çıknahor	چيقناخور
erk	ارق
vietnamlı	ويئتناملي
kaşgarlı mahmud	كاشغارلي محمود
azatlı	آزادلي
tahrip etmek	تخريب ايتمك
ulah	اولاخ
tekabkub	تقبقب
rum	روم
zann-ı galib	ظن غالب
fermiyum	فرمييوم
nevar	نوار
guyan	گويان
mehyum	مهيوم
koruluk	قوريلق
mahçehre	ماهچهره
mifrak	مفرق
müstehlik	مستهلك
orus	اوروص
cüda	جداع
tefrik	تفريك
lolo	لولو
pırtlak	پيرتلاق
geometrik yer	گئومتريك ير
paklık	پاكلق
kopolimer	قوپوليمر
deli alacası	دلي آلاجه سي
fettanlaşma	فتانلاشمه 
bedbin	بدبين
mübtedi	مبتدي
tutarak	طوتاراق
ıkva	اقوا
bahtsız	بختسز
ekli	اكلي
bölümleniş	بولوملنيش
nevruz-i uşşak	نوروز عشاق
sadreddin	صدر الدين
şuun-ı seyyale	شئون سياله
karmeşe	قرمشه
beşş	بش
akbatun	آق باطون
lesin	لسن
oruz	اوروز
müsevvidin	مسودين
billurlu	بلورلي
merzenguş	مرزنگوش
intımas	انطماس
ivmeyazar	ايومه يازار
bulacalı	بولاجه لي
basile	بصيله
yanardağ bilimi	يانار طاغ بيليمي
evvelül-evail	اول الاوائل
telhin	تلحين
fahurane	فخورانه
kısmal	قصمال
bina	بنا
tekvis	تكويس
bişkek	بيشكك
müstalim	مستعلم
tekalif-i emiriye	تكاليف اميريه
müessif	مؤسف
ilelebet	الي الابد
sehabüs-sikal	سحاب الثقال
polaroit	پولاروئيت
akled	عكلد
püf	پوف
bi-iştibah	بي اشتباه
diyastaz	ديياستاز
haminne	خاميننه
gururlanma	غرورلانمه 
ön denetim	أوڭ دڭتيم
habbaz	خباز
esfel	اسفل
yavaşa	ياواشه
fayih	فايح
burjuva	بورژووه
müzikli	موزيكلي
tulumbacılık	طولومبه جيلق
ihbal	احبال
sömürücülük	سوموريجيلك
zagan	زغن
takdim olunmak	تقديم اولونمق
ale	عاله
okuldaş	اوقولداش
satt	صت
imbat	ايمبات
kesişmek	كسيشمك
adem-i ittifak	عدم اتفاق
levendane	لوندانه
önerge	أوڭرگه
zamklı kağıt	زامقلي كاغد
sudanlı	سودانلي
saksofoncu	صاقسافونجي
ağbiya	اغبيا
adamsızlık	آدمسزلق
tıraz	طراز
devrikebir	دور كبير
guyem	گويم
müstantık	مستنطق
oportünist	اوپورتونيست
mevalid-i selase	موالد ثلاثه
mahşur	محشور
velehan	ولهان
bezeyici	بزه ييجي
bit-tafsil	بالتفصيل
ba	باع
özgen	أوز گن
anlam daralması	آڭلام طارالمه سي
inşinac-ı vech	انشناج وجه
nejad	نژاد
aksül-amel	عكس العمل
harikat	خارقات
seçilmiş	سچيلمش
büzürg-vari	بزرگواري
van	وان
müdafiin	مدافعين
esnekleştirmek	اسنكلشديرمك
mütevazzi	متوضي
katalpa	قتالپه
yalan yanlış	يالان ياڭليش
marufiyet	معروفيت
levc	لوج
cilm	جلم
tican	تيجان
tıbben	طبًا
tehendüm	تهندم
habibullah	حبيب اللّٰه
toplumsal ilişki	طوپلومسال ايليشكي
şamata etmek	شماته ايتمك
mührüsüleyman	مهر سليمان
ansiklopedik sözlük	آنسيكلوپه ديك سوزلك
hezabir	هزابر
ismid sürmesi	اثمد سورمه سي
mercuh	مرجوح
metodoloji	متودولوژي
ilyaki	الياكي
öger	أوگر
esir	اصير
imam	امام
yönetici	يوڭتيجي
vurma sazlar	وورمه سازلر
görüşme	گوروشمه
itilaf etmek	ايتلاف ايتمك
kuşgömü	قوش گومي
komitacı	قوميطه جي
özgürlükçü	أوزگورلكجي
şütür-bar	شتربار
şenlendirmek	شنلنديرمك
